Index	edge	1	2	3	4	5	6	7	8	9	finesse_moy	finesse_max	Area	Reward
11	1.706e-02	1.361e-02	6.635e-02	9.021e-02	1.292e-01	-5.881e-02	-6.902e-02	-5.683e-03	6.614e-01	2.842e-01	4.054e-02	4.326e-02	1.614e-03	4.059e-02
11	1.829e-02	9.483e-03	8.672e-02	1.000e-01	1.500e-01	-5.653e-02	-8.730e-03	-1.418e-02	7.731e-01	2.948e-01	4.047e-02	4.355e-02	1.533e-03	4.046e-02
11	1.042e-02	1.212e-02	6.755e-02	9.779e-02	1.500e-01	-5.463e-02	-2.250e-02	-3.711e-03	7.732e-01	3.000e-01	4.336e-02	4.693e-02	1.446e-03	4.138e-02
12	1.465e-02	6.652e-03	7.290e-02	9.552e-02	1.478e-01	-7.052e-02	-4.273e-02	-6.178e-03	7.791e-01	3.000e-01	3.884e-02	4.182e-02	1.607e-03	3.879e-02
12	8.958e-03	2.194e-02	7.201e-02	9.637e-02	8.673e-02	-6.029e-02	-2.212e-02	-1.138e-02	7.469e-01	3.000e-01	4.161e-02	4.415e-02	1.402e-03	3.096e-02
12	1.700e-02	5.664e-03	6.675e-02	9.367e-02	1.389e-01	-5.103e-02	-3.958e-02	-7.478e-03	7.778e-01	2.790e-01	4.138e-02	4.402e-02	1.477e-03	4.139e-02
12	1.359e-02	2.478e-03	7.844e-02	9.521e-02	1.500e-01	-6.465e-02	-3.490e-02	-7.046e-03	7.905e-01	2.826e-01	3.887e-02	4.173e-02	1.558e-03	3.889e-02
12	1.473e-02	6.246e-03	9.029e-02	9.696e-02	1.500e-01	-5.845e-02	-2.336e-02	-1.632e-02	7.554e-01	3.000e-01	4.052e-02	4.368e-02	1.604e-03	4.052e-02
12	1.141e-02	8.555e-03	6.873e-02	9.531e-02	1.382e-01	-6.008e-02	-3.031e-02	-5.730e-03	7.591e-01	3.000e-01	4.230e-02	4.522e-02	1.469e-03	4.222e-02
12	1.649e-02	0.000e+00	7.897e-02	9.620e-02	1.470e-01	-4.182e-02	-6.011e-02	-3.836e-03	7.493e-01	2.970e-01	4.420e-02	4.742e-02	1.589e-03	4.420e-02
